Naruto ,220,,Finished
Naruto Shippuden ,500,,Finished
Black Clover,167,,
Dororo,24,,Finished
Bungou Stray dogs season 1,12,,Finished
Bungou Stray dogs season 2,12,,Finished
Bungou Stray dogs season 3,12,,Finished
One Punch Man season 1 ,12,,Finished
One Punch Man season 2 ,12,,Finished
Iron Man ,12,,Finished
Boruto ,188,,
Bleach ,366,,Finished
Qwaser ,24,,Finished
Qwaser season 2 ,12,,Finished
Avatar book 1,12,,Finished
Avatar book 2,20,,Finished
Avatar book 3,21,,Finished
Tokyo Ghoul:re,11,,Finished
Tokyo Ghoul,12,,Finished
Tokyo Ghoul A,12,,Finished
Tokyo Ghoul re 2nd ,22,,Finished
Shingeki no Kyojin,25,,Finished
Shingeki no kyojin 2,12,,Finished
Shingeki no kyojin 3,12,,Finished
Nanatsu no taizai,24,,Finished
Shingeki no kyojin 3 a,10,,Finished
Nanatsu no taizai seisen,24,,"Finished
"
Kekkai no sensen,12,,"Finished
"
Kekkai no sensen and beyond,12,,"Finished
"
Kimetsu no yaiba ,26,,Finished
Nanatsu no taizai kamigami,24,,Finished
solo levelling,,,
hunter x hunter,148,,Finished
my hero academia,13,,Finished
my hero academia 2,25,,Finished
my hero academia 3,25,,Finished
my hero academia 4,25,,Finished
death note,8,,
in/spectre(Kyokou suiri),12,,Finished
Full metal alchemist,51,,Finished
Full metal alchemist brotherhood,64,,Finished
monster,30,,
Ansatsu kyoshitsu,22,,Finished
Ansatsu kyoshitsu 2,25,,Finished
Enen no Shouboutai,24,,Finished
the promised neverland,12,,Finished
gintama,85,,
akame ga kill,24,,Finished
hitori no shita,12,,Finished
hitori no shita season 2,24,,Finished
 Enen no Shouboutai season 2,24,,Finished
mob psycho ,12,,Finished
mob psycho 2,13,,Finished
Dr Stone,24,,Finished
The God of High School,13,,Finished
Hitori no shita season 3,8,,Finished
jujutsu kaisen,21,,
time I got reincarnated slime,24,,Finished
Parsyte,24,,Finished
Classroom of the elite,12,,Finished
Goblin Slayer,12,,Finished
Noragami,13,,Finished
Yona of the dawn,24,,Finished
Haikyu,25,,Finished
Haikyu Season 2,25,,Finished
Haikyu Season 3,10,,Finished
Shingeki no kyojin final season,11,,
tower of god,13,,Finished
akudama drive,12,,Finished
Munou na nana,13,,Finished
Rise of the shield hero,25,,Finished
Haikyu to the top ,25,,Finished
The misfit at demon academy,13,,Finished
Samurai Champloo,26,,Finished
Yakusoku no Neverland 2,7,,
Dr Stone Stone Wars,8,,
Nanatsu no taizai 2021,7,,
Vinland saga,24,,Finished
time I got reincarnated slime 2,9,,
Mushoku tensei Jobless Reinc,9,,
"I'm standing on 1,000,000 lives",12,,Finished
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,2991,,